8956,"(41.7903948, -87.6038772)"
8958,"(41.7853228, -87.60066069999999)"
8959,"(41.7889661, -87.60093189999999)"
8960,"(41.811602, -87.59829169999999)"
8964,"(41.8014367, -87.59489704999999)"
8966,"(41.7839684, -87.5887539)"
8967,"(41.7854005, -87.6002883)"
8969,"(41.78462340000001, -87.60489899999999)"
8970,"(41.790225, -87.60255599999999)"
8972,"(41.7845959, -87.6008803)"
8973,"(41.7895762, -87.60093239999999)"
8975,"(41.7891369, -87.5954551)"
8977,"(41.7845959, -87.6008803)"
8978,"(41.7891768, -87.60195080000001)"
8979,"(41.8106981, -87.60350079999999)"
8981,"(41.7878636, -87.60211729999999)"
8984,"(41.78936179999999, -87.5980201)"
8985,"(41.7854429, -87.60028550000001)"
8986,"(41.7891369, -87.5954551)"
8987,"(41.7919788, -87.5983645)"
8989,"(41.78962, -87.58657500000001)"
8990,"(41.7858787, -87.6044278)"
8991,"(41.7992327, -87.591377)"
8992,"(41.7911308, -87.60274969999999)"
8993,"(41.7846534, -87.60485949999999)"
8994,"(41.7999353, -87.595523)"
8996,"(41.7948658, -87.59761429999999)"
8998,"(41.792279, -87.599954)"
8999,"(41.783983, -87.5981345)"
9000,"(41.7895621, -87.601259)"
9001,"(41.7892116, -87.60406619999999)"
9002,"(41.8781136, -87.6297982)"
9003,"(41.784479, -87.6023214)"
9004,"(41.718843, -87.6427935)"
9005,"(41.7854503, -87.603927)"
9009,"(41.7995438, -87.60392439999998)"
9010,0
9011,"(41.7935817, -87.5989699)"
9012,"(41.7934747, -87.5951185)"
9017,"(41.7949629, -87.60569339999999)"
9018,"(41.7910784, -87.6005453)"
9019,"(41.7850859, -87.6024784)"
9022,"(41.80288710000001, -87.59451625)"
9023,"(41.78952109999999, -87.60424909999999)"
9024,"(41.796435, -87.58167619999999)"
9025,"(41.8014367, -87.59489704999999)"
9027,"(41.79255360000001, -87.6040574)"
9028,"(41.808051, -87.597391)"
9029,"(41.7986738, -87.59972594999999)"
9030,"(41.7892116, -87.60406619999999)"
9034,"(41.78869700000001, -87.6006031)"
9035,"(41.789734, -87.6015371)"
9036,"(41.78318105, -87.6011243)"
9038,"(41.7986738, -87.59972594999999)"
9040,"(41.7986738, -87.59972594999999)"
9041,"(41.78324815, -87.59471155)"
9042,"(41.7900073, -87.59839355)"
9044,"(41.7920395, -87.6017426)"
9045,"(41.7910678, -87.60495069999999)"
9047,"(41.7901748, -87.59914119999999)"
9048,"(41.789734, -87.6015371)"
9049,"(41.791237, -87.5982604)"
9050,"(41.7899678, -87.68675049999999)"
9051,"(41.7968194, -87.603861)"
9053,"(41.79862185, -87.60451235)"
9054,"(41.789734, -87.6015371)"
9055,"(41.79351339999999, -87.5960709)"
9056,"(41.7793468, -87.5922605)"
9058,"(41.785371, -87.59707639999999)"
9059,"(41.7904919, -87.6009826)"
9060,"(41.791235, -87.597702)"
9062,"(41.7927245, -87.59775839999999)"
9064,"(41.7912883, -87.5968463)"
9065,"(41.7932886, -87.5932648)"
9066,"(41.7845959, -87.6008803)"
9067,"(41.7948658, -87.59761429999999)"
9069,"(41.7845959, -87.6008803)"
9070,"(41.7892116, -87.60406619999999)"
9071,"(41.7888793, -87.6049986)"
9073,"(41.7912712, -87.59819279999999)"
9075,"(41.7948658, -87.59761429999999)"
9076,"(41.7919788, -87.5983645)"
9077,"(41.78462340000001, -87.60489899999999)"
9079,"(41.794353, -87.6008506)"
9080,"(41.7823388, -87.5946903)"
9081,"(41.7884006, -87.59909929999999)"
9083,"(41.7994931, -87.6062511)"
9084,"(41.7901841, -87.6045875)"
9085,"(41.789734, -87.6015371)"
9086,"(41.7904919, -87.6009826)"
9088,"(41.79351339999999, -87.5960709)"
9089,"(41.7889561, -87.5982904)"
9090,"(41.7891369, -87.5954551)"
9091,"(41.792279, -87.599954)"
9092,"(41.790866, -87.596749)"
9094,"(41.7888793, -87.6049986)"
9095,"(41.7895583, -87.5931746)"
9096,"(41.7919425, -87.60283989999999)"
9097,"(41.7842257, -87.6032869)"
9098,"(41.78462340000001, -87.60489899999999)"
9099,"(41.7842257, -87.6032869)"
9100,"(41.78796639999999, -87.59953639999999)"
9104,"(41.7912712, -87.59819279999999)"
9106,"(41.7889661, -87.60093189999999)"
9107,"(41.7845959, -87.6008803)"
9109,"(41.7910678, -87.60495069999999)"
9110,"(41.7936233, -87.5929647)"
9112,"(41.7919425, -87.60283989999999)"
9114,"(41.7853228, -87.60066069999999)"
9116,"(41.7826677, -87.60486759999999)"
9117,"(41.7884006, -87.59909929999999)"
9118,"(41.7854005, -87.6002883)"
9119,"(41.79351339999999, -87.5960709)"
9121,"(41.78796639999999, -87.59953639999999)"
9122,"(41.79948400000001, -87.5925496)"
9123,"(41.7940762, -87.60170769999999)"
9124,"(41.8781136, -87.6297982)"
9125,"(41.78952109999999, -87.60424909999999)"
9127,"(41.7814606, -87.5942907)"
9128,"(41.7948658, -87.59761429999999)"
9129,"(41.789113, -87.600152)"
9131,"(41.78952109999999, -87.60424909999999)"
9132,"(41.80090965, -87.59586984999999)"
9133,"(41.78952109999999, -87.60424909999999)"
9135,"(41.7819596, -87.6031268)"
9136,"(41.79196899999999, -87.600869)"
9137,"(41.78319585, -87.60274795)"
9139,"(41.7878636, -87.60211729999999)"
9140,"(41.7854503, -87.603927)"
9141,"(41.7888793, -87.6049986)"
9142,"(41.7857443, -87.59029559999999)"
9143,"(41.7910678, -87.60495069999999)"
9144,"(41.7949629, -87.60569339999999)"
9145,"(41.7995438, -87.60392439999998)"
9147,"(41.7882484, -87.5909839)"
9148,"(41.79662300000001, -87.6012514)"
9149,"(41.7910678, -87.60495069999999)"
9150,"(41.7797674, -87.6031412)"
9151,"(41.7819343, -87.604879)"
9153,"(41.796979, -87.58787500000001)"
9155,"(41.78462340000001, -87.60489899999999)"
9156,"(41.7997745, -87.59468179999999)"
9158,"(41.7948658, -87.59761429999999)"
9159,"(41.78462340000001, -87.60489899999999)"
9160,"(41.7843248, -87.5958543)"
9162,"(41.8030032, -87.6019479)"
9163,"(41.7992604, -87.59888149999999)"
9164,"(41.79865840000001, -87.6045303)"
9167,"(41.7932161, -87.59975829999999)"
9169,"(41.797976000000006, -87.59580245)"
9171,"(41.7883128, -87.6045656)"
9173,"(41.7955712, -87.60568579999999)"
9174,"(41.7954337, -87.5850801)"
9175,"(41.7824548, -87.5999216)"
9178,"(41.7877678, -87.5980148)"
9179,"(41.7892503, -87.5946951)"
9180,"(41.7935817, -87.5989699)"
9182,"(41.791257, -87.59392869999999)"
9183,"(41.7790843, -87.6020529)"
9184,"(41.7916443, -87.5881545)"
9186,"(41.7845959, -87.6008803)"
9187,"(41.7825195, -87.5992023)"
9188,"(41.7932998, -87.5924584)"
9190,"(41.78462340000001, -87.60489899999999)"
9191,"(41.7847535, -87.592671)"
9193,"(41.789113, -87.600152)"
9194,"(41.7920039, -87.6058249)"
9197,"(41.7895762, -87.60093239999999)"
9198,"(41.7771789, -87.60310919999999)"
9200,"(41.7852334, -87.5941963)"
9201,"(41.7899183, -87.59734110000001)"
9204,"(41.7910678, -87.60495069999999)"
9205,"(41.8028159, -87.6033349)"
9206,"(41.78462340000001, -87.60489899999999)"
9207,"(41.7841358, -87.5962844)"
9209,"(41.7899689, -87.6052594)"
9210,"(41.7851676, -87.5985919)"
9212,"(41.7850859, -87.6024784)"
9213,"(41.78952109999999, -87.60424909999999)"
9214,"(41.792974, -87.592874)"
9216,"(41.792279, -87.599954)"
9217,"(41.7899689, -87.6052594)"
9219,"(41.7919788, -87.5983645)"
9220,"(41.7899689, -87.6052594)"
9221,"(41.7919425, -87.60283989999999)"
9223,"(41.7901841, -87.6045875)"
9224,"(41.7845959, -87.6008803)"
9225,"(41.7854005, -87.6002883)"
9226,"(41.7895762, -87.60093239999999)"
9227,"(41.7726391, -87.7469362)"
9228,"(41.7892417, -87.59749049999999)"
9229,"(41.7884006, -87.59909929999999)"
9231,"(41.7910678, -87.60495069999999)"
9232,"(41.79351339999999, -87.5960709)"
9233,"(41.7889661, -87.60093189999999)"
9235,"(41.814083, -87.6058791)"
9236,"(41.7929725, -87.5999293)"
9237,"(41.792936, -87.60563909999999)"
9238,"(41.792279, -87.599954)"
9239,"(41.79351339999999, -87.5960709)"
9240,"(41.7891768, -87.60195080000001)"
9241,"(41.7910678, -87.60495069999999)"
9242,"(41.799552, -87.6036931)"
9244,"(41.7850671, -87.598144)"
9245,"(41.796083249999995, -87.603828)"
9246,"(41.7803214, -87.6057385)"
9247,"(41.7892116, -87.60406619999999)"
9249,"(41.7892116, -87.60406619999999)"
9250,"(41.7892116, -87.60406619999999)"
9252,"(41.7804242, -87.5972999)"
9253,"(41.8079675, -87.5965483)"
9254,"(41.7966863, -87.6041205)"
9256,"(41.78796639999999, -87.59953639999999)"
9258,"(41.7927245, -87.59775839999999)"
9259,"(41.793602, -87.59214399999999)"
9261,"(41.792279, -87.599954)"
9262,"(41.788274, -87.598276)"
9263,"(41.78462340000001, -87.60489899999999)"
9264,"(41.79131539999999, -87.5951548)"
9266,"(41.7850859, -87.6024784)"
9267,"(41.7993398, -87.5985268)"
9269,"(41.78462340000001, -87.60489899999999)"
9270,"(41.7880686, -87.5956212)"
9272,"(41.7911308, -87.60274969999999)"
9273,"(41.79862185, -87.60451235)"
9275,"(41.79772385, -87.60388234999999)"
9276,"(41.7838939, -87.60558999999999)"
9277,"(41.7948658, -87.59761429999999)"
9278,"(41.7995438, -87.60392439999998)"
9280,"(41.7877673, -87.5979953)"
9281,"(41.792989, -87.60255839999999)"
9282,"(41.78962, -87.58657500000001)"
9283,"(41.800612, -87.602509)"
9284,"(41.80061000000001, -87.60318699999999)"
9286,"(41.793625, -87.58994)"
9287,"(41.7978005, -87.59572899999999)"
9288,"(41.78142895, -87.5946605)"
9289,"(41.7899689, -87.6052594)"
9290,"(41.80507240000001, -87.5928701)"
9292,"(41.7959781, -87.59869555)"
9293,"(41.790161499999996, -87.59857715)"
9294,"(41.791237, -87.5982604)"
9295,"(41.7907181, -87.6037047)"
9296,"(41.7889561, -87.5982904)"
9297,"(41.7889561, -87.5982904)"
9298,"(41.805837, -87.5986947)"
9299,"(41.7909811, -87.6011781)"
9301,"(41.7895762, -87.60093239999999)"
9302,"(41.7895762, -87.60093239999999)"
9304,"(41.790105, -87.60192839999999)"
9305,"(41.7946591, -87.5986635)"
9306,"(41.7912712, -87.59819279999999)"
9308,"(41.78462340000001, -87.60489899999999)"
9309,"(41.794332999999995, -87.58251325)"
9310,"(41.7941486, -87.5875444)"
9311,"(41.7929823, -87.60100320000001)"
9312,"(41.79772385, -87.60388234999999)"
9314,"(41.7797709, -87.605491)"
9316,"(41.7845959, -87.6008803)"
9318,"(41.7854005, -87.6002883)"
9319,"(41.77884, -87.5987043)"
9320,"(41.7910678, -87.60495069999999)"
9321,"(41.78462340000001, -87.60489899999999)"
9322,"(41.7948658, -87.59761429999999)"
9323,"(41.7991323, -87.5876236)"
9325,"(41.78137245, -87.60248519999999)"
9326,"(41.7916469, -87.6034081)"
9327,"(41.803172, -87.604753)"
9329,"(41.7856991, -87.5939369)"
9330,"(41.79102779999999, -87.59674919999999)"
9331,"(41.7879118, -87.6008291)"
9333,"(41.7985718, -87.5853738)"
9334,"(41.79537879999999, -87.5981857)"
9335,"(41.7954837, -87.58816019999999)"
9336,"(41.7845959, -87.6008803)"
9337,"(41.7882484, -87.5909839)"
9339,"(41.7948658, -87.59761429999999)"
9341,"(41.8023062, -87.5998123)"
9342,"(41.7910784, -87.6005453)"
9343,"(41.7847535, -87.592671)"
9345,"(41.78948889999999, -87.60611229999999)"
9346,"(41.7845959, -87.6008803)"
9347,"(41.7901437, -87.59606149999999)"
9349,"(41.7889661, -87.60093189999999)"
9350,"(41.8001922, -87.59503889999999)"
9351,"(41.7995084, -87.5984241)"
9352,"(41.8000311, -87.60513759999999)"
9353,"(41.7904765, -87.5967576)"
9354,"(41.796859, -87.601676)"
9355,"(41.7940762, -87.60170769999999)"
9357,"(41.79305859999999, -87.5976663)"
9358,"(41.7912278, -87.587041)"
9359,"(41.80003869999999, -87.5892313)"
9360,"(41.800678, -87.59575)"
9362,"(41.788344, -87.60090319999999)"
9363,"(41.7912278, -87.587041)"
9365,"(41.79992319999999, -87.59161379999999)"
9366,"(41.7807533, -87.5948818)"
9368,"(41.7899689, -87.6052594)"
9369,"(41.7940762, -87.60170769999999)"
9371,"(41.7960748, -87.5914207)"
9372,"(41.79948400000001, -87.5925456)"
9373,"(41.79457499999999, -87.601637)"
9374,"(41.79351339999999, -87.5960709)"
9375,"(41.7854503, -87.603927)"
9377,"(41.7914067, -87.5980738)"
9378,"(41.7964721, -87.6012428)"
9379,"(41.8025848, -87.60178839999999)"
9380,"(41.7953561, -87.5861219)"
9381,"(41.78100395, -87.60242629999999)"
9385,"(41.7939859, -87.6008615)"
9386,"(41.7895848, -87.59641409999999)"
9387,"(41.7896827, -87.60405019999999)"
9389,"(41.7840817, -87.6011369)"
9390,"(41.8781136, -87.6297982)"
